Customer_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Tenure_Months,Debt_to_Income,Interest_Rate,Gender,Employment_Type,Education_Level,Marital_Status,Loan_Type,Loan_Default
CUST00001,59,169258.08,707.0,20128.97,48,0.27,7.26,Other,Contract,Bachelor,Widowed,Home Loan,No
CUST00002,49,19220.57,785.0,141819.63,84,0.69,12.11,Other,Business,Bachelor,Divorced,Personal Loan,No
CUST00003,35,54503.91,530.0,263622.19,72,0.09,14.29,Female,Salaried,PhD,Divorced,Education Loan,No
CUST00004,63,77187.8,771.0,141734.9,12,0.54,10.78,Male,Self-Employed,Bachelor,Married,Education Loan,No
CUST00005,28,97025.19,491.0,317932.68,48,0.18,5.35,Male,Self-Employed,High School,Divorced,Education Loan,Yes
CUST00006,41,155832.44,682.0,246115.06,24,0.27,10.84,Female,Contract,High School,Single,Home Loan,No
CUST00007,59,32237.8,844.0,187238.02,60,0.34,8.85,Other,Business,Master,Single,Car Loan,No
CUST00008,39,148550.11,731.0,475112.23,84,0.69,17.09,Male,Self-Employed,Master,Single,Business Loan,Yes
CUST00009,43,27015.87,708.0,319758.15,12,0.22,6.62,Other,Business,PhD,Widowed,Car Loan,No
CUST00010,31,154454.87,830.0,73671.27,24,0.11,13.48,Female,Business,PhD,Single,Business Loan,No
CUST00011,31,26364.95,627.0,284444.93,72,0.27,5.69,Other,Self-Employed,PhD,Married,Business Loan,No
CUST00012,44,20955.28,713.0,392558.61,24,0.12,10.8,Male,Business,High School,Single,Education Loan,No
CUST00013,56,130907.76,723.0,357159.95,12,0.14,12.2,Other,Self-Employed,Bachelor,Widowed,Personal Loan,No
CUST00014,60,179555.4,641.0,94323.72,72,0.45,8.87,Other,Contract,PhD,Married,Education Loan,No
CUST00015,44,163250.86,647.0,486485.8,24,0.09,10.92,Male,Salaried,PhD,Single,Home Loan,Yes
CUST00016,23,111311.74,639.0,229918.69,72,0.07,7.13,Male,Salaried,High School,Married,Business Loan,No
CUST00017,42,166618.09,687.0,87922.25,84,0.55,8.95,Other,Contract,High School,Married,Personal Loan,No
CUST00018,22,18858.6,721.0,98295.92,84,0.3,13.07,Other,Self-Employed,High School,Widowed,Business Loan,No
CUST00019,44,175960.88,689.0,58135.15,12,0.14,8.92,Female,Self-Employed,Bachelor,Widowed,Business Loan,No
CUST00020,64,97501.3,733.0,403723.87,12,0.23,16.7,Male,Self-Employed,PhD,Married,Education Loan,No
CUST00021,50,135109.17,532.0,69794.94,72,0.5,13.17,Other,Self-Employed,Diploma,Single,Personal Loan,No
CUST00022,58,150979.56,664.0,71311.38,36,0.24,10.7,Male,Contract,Diploma,Widowed,Personal Loan,No
CUST00023,22,134390.08,603.0,426731.09,48,0.4,5.5,Female,Salaried,PhD,Married,Business Loan,No
CUST00024,41,104675.95,703.0,178856.0,24,0.14,11.49,Other,Business,PhD,Divorced,Personal Loan,No
CUST00025,53,95212.36,702.0,25120.37,24,0.46,14.94,Other,Business,PhD,Divorced,Personal Loan,No
CUST00026,32,153850.37,671.0,35428.7,36,0.27,8.45,Other,Salaried,PhD,Widowed,Education Loan,No
CUST00027,42,51222.56,718.0,79663.52,36,0.49,15.49,Male,Contract,Bachelor,Single,Car Loan,No
CUST00028,64,174815.04,755.0,114562.74,36,0.62,8.27,Female,Business,Diploma,Divorced,Home Loan,No
CUST00029,45,133174.3,675.0,335921.64,60,0.48,15.71,Male,Salaried,Master,Divorced,Car Loan,No
CUST00030,69,50320.12,601.0,87089.88,60,0.26,6.11,Other,Contract,Diploma,Divorced,Personal Loan,No
CUST00031,47,137272.04,561.0,68248.45,72,0.23,16.26,Female,Business,Diploma,Single,Business Loan,No
CUST00032,62,103834.08,683.0,384712.38,60,0.28,11.49,Other,Self-Employed,High School,Single,Home Loan,No
CUST00033,48,132571.28,698.0,338817.09,84,0.17,8.85,Other,Self-Employed,PhD,Widowed,Home Loan,No
CUST00034,36,142380.28,607.0,223308.87,84,0.18,8.45,Male,Contract,PhD,Widowed,Business Loan,No
CUST00035,35,32141.01,734.0,279161.79,12,0.6,10.62,Other,Self-Employed,PhD,Divorced,Home Loan,No
CUST00036,67,99988.84,646.0,162872.17,72,0.32,17.99,Female,Contract,High School,Single,Business Loan,No
CUST00037,64,168986.32,556.0,246425.21,24,0.36,7.86,Other,Salaried,Bachelor,Married,Home Loan,No
CUST00038,23,69944.04,774.0,258269.6,48,0.47,6.34,Other,Salaried,Bachelor,Divorced,Car Loan,No
CUST00039,57,114209.06,766.0,199746.26,12,0.46,12.61,Male,Business,Master,Widowed,Home Loan,No
CUST00040,27,77815.34,529.0,454220.38,24,0.1,11.35,Female,Contract,Bachelor,Single,Education Loan,No
CUST00041,41,91591.41,638.0,17870.31,24,0.63,11.81,Male,Business,Bachelor,Widowed,Business Loan,No
CUST00042,29,106873.71,635.0,393263.92,72,0.17,13.67,Other,Business,PhD,Widowed,Home Loan,No
CUST00043,59,106925.36,803.0,70947.59,36,0.56,8.47,Male,Salaried,Diploma,Single,Business Loan,Yes
CUST00044,38,50680.33,,400798.21,36,0.59,16.84,Male,Business,Bachelor,Divorced,Education Loan,Yes
CUST00045,24,128900.59,568.0,311796.84,12,0.55,10.66,Male,Self-Employed,Bachelor,Single,Home Loan,No
CUST00046,45,32234.63,746.0,423206.26,36,0.46,6.68,Male,Business,High School,Divorced,Home Loan,Yes
CUST00047,34,40489.61,588.0,57782.02,24,0.06,14.65,Other,Contract,Master,Widowed,Education Loan,No
CUST00048,70,18439.17,660.0,283900.51,36,0.3,13.36,Other,Self-Employed,High School,Single,Education Loan,No
CUST00049,29,36904.76,622.0,255533.06,60,0.47,9.1,Female,Salaried,PhD,Married,Education Loan,Yes
CUST00050,46,94652.92,638.0,356034.66,36,0.32,13.08,Male,Contract,Diploma,Divorced,Business Loan,No
CUST00051,22,116188.5,750.0,271802.37,24,0.65,7.86,Male,Self-Employed,Master,Married,Education Loan,No
CUST00052,40,146674.89,794.0,274959.94,72,0.27,10.78,Female,Contract,High School,Divorced,Business Loan,No
CUST00053,48,35285.28,584.0,220502.01,12,0.26,16.69,Male,Self-Employed,Bachelor,Single,Car Loan,No
CUST00054,67,155817.85,727.0,161328.87,48,0.24,6.74,Female,Contract,Bachelor,Married,Home Loan,No
CUST00055,27,138847.87,625.0,246309.54,36,0.28,10.03,Other,Contract,Master,Single,Home Loan,No
CUST00056,64,84179.96,627.0,68061.26,84,0.44,15.67,Female,Self-Employed,Bachelor,Divorced,Personal Loan,No
CUST00057,28,169135.97,717.0,481141.54,84,0.54,17.6,Male,Salaried,High School,Divorced,Car Loan,No
CUST00058,67,178530.58,603.0,360061.27,24,0.51,10.9,Female,Salaried,High School,Divorced,Education Loan,Yes
CUST00059,55,51210.29,715.0,476708.89,48,0.62,11.59,Other,Contract,Bachelor,Divorced,Education Loan,Yes
CUST00060,34,79435.03,735.0,121096.42,48,0.67,12.44,Male,Contract,Bachelor,Widowed,Car Loan,No
CUST00061,37,168084.81,648.0,440877.1,60,0.62,17.12,Other,Salaried,PhD,Divorced,Education Loan,No
CUST00062,56,134898.64,780.0,406307.09,48,0.06,16.16,Other,Salaried,Diploma,Married,Personal Loan,No
CUST00063,70,25791.33,585.0,341804.68,84,0.57,7.22,Female,Business,Master,Divorced,Business Loan,No
CUST00064,60,144605.35,781.0,316264.3,72,0.2,10.68,Other,Salaried,High School,Single,Home Loan,No
CUST00065,24,152126.42,534.0,165109.34,24,0.14,11.03,Male,Contract,Master,Widowed,Car Loan,No
CUST00066,22,139581.31,850.0,410041.28,24,0.5,15.26,Other,Self-Employed,PhD,Married,Home Loan,No
CUST00067,26,147525.02,650.0,255742.58,36,0.27,12.84,Other,Salaried,High School,Widowed,Business Loan,No
CUST00068,62,151671.49,593.0,44736.87,36,0.09,13.5,Female,Business,PhD,Widowed,Car Loan,No
CUST00069,24,48197.61,663.0,163302.95,36,0.15,17.98,Other,Business,PhD,Widowed,Business Loan,No
CUST00070,49,56182.06,602.0,468295.58,84,0.05,5.97,Female,Business,Bachelor,Single,Education Loan,No
CUST00071,38,120668.89,709.0,426833.33,84,0.68,7.9,Female,Self-Employed,Master,Widowed,Education Loan,No
