Application_ID,Customer_ID,Application_Date,Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Loan_Tenure_Months,Existing_Loans,Previous_Defaults,Monthly_Expenses,Savings,Dependents,Gender,Employment_Type,Education_Level,Location,Loan_Type,Marital_Status,Payment_History,Loan_Defaulted
APP100000,CUST10000,2025-12-02,59,99835.0,726.0,28,1295175,36,4,0,24579.0,686138,0,Female,Business,Graduate,Rural,Home,Married,Excellent,0
APP100001,CUST10001,2025-01-21,49,140232.0,705.0,23,244451,24,0,0,26483.0,217213,0,Female,Salaried,Graduate,Urban,Business,Single,Average,0
APP100002,CUST10002,2023-04-06,35,179162.0,781.0,15,406686,12,1,1,5503.0,416775,0,Male,Business,High School,Urban,Home,Married,Average,0
APP100003,CUST10003,2023-01-27,63,175547.0,726.0,30,746631,60,3,0,75880.0,964845,2,Female,Salaried,Graduate,Urban,Home,Married,Good,0
APP100004,CUST10004,2025-04-15,28,167960.0,675.0,4,1427332,24,4,0,13947.0,287701,3,Male,Self-Employed,Postgraduate,Rural,Education,Married,Average,0
APP100005,CUST10005,2024-05-01,41,61732.0,635.0,20,188307,72,3,0,14533.0,892524,0,Female,Salaried,Graduate,Semi-Urban,Personal,Married,Excellent,0
APP100006,CUST10006,2023-08-28,59,64305.0,755.0,21,1187333,48,5,0,52576.0,782508,0,Female,Business,High School,Urban,Education,Married,Good,1
APP100007,CUST10007,2023-03-08,39,27346.0,669.0,9,459633,72,4,0,45916.0,441997,5,Male,Salaried,High School,Urban,Home,Married,Average,1
APP100008,CUST10008,2023-08-19,43,18587.0,677.0,22,934507,72,5,0,51923.0,771033,0,Male,Salaried,Postgraduate,Urban,Personal,Single,Excellent,0
APP100009,CUST10009,2023-12-17,31,30763.0,677.0,12,346753,36,4,0,60162.0,226525,2,Male,Salaried,Postgraduate,Urban,Personal,Married,Good,1
APP100010,CUST10010,2025-01-30,31,87615.0,660.0,28,939217,48,2,1,85729.0,489689,4,Female,Contract,Graduate,Rural,Personal,Married,Good,1
APP100011,CUST10011,2025-05-12,44,138987.0,678.0,25,1352776,24,0,3,71917.0,888506,3,Male,Salaried,High School,Semi-Urban,Vehicle,Married,Good,1
APP100012,CUST10012,2023-12-23,56,,834.0,13,1001406,72,5,0,12012.0,994761,4,Female,Salaried,Graduate,Rural,Business,Single,Good,0
APP100013,CUST10013,2025-12-01,60,113648.0,611.0,6,1646509,24,1,0,20213.0,549863,5,Male,Salaried,Graduate,Urban,Home,Married,Good,1
APP100014,CUST10014,2025-10-26,44,43556.0,629.0,28,1554665,84,1,0,32563.0,864280,1,Female,Business,Graduate,Semi-Urban,Personal,Married,Good,1
APP100015,CUST10015,2023-11-25,23,77042.0,794.0,19,1818494,84,2,0,20212.0,258947,1,Male,Salaried,Graduate,Urban,Vehicle,Married,Excellent,1
APP100016,CUST10016,2025-06-29,42,36099.0,662.0,5,374377,84,2,0,65188.0,904648,0,Male,Self-Employed,High School,Rural,Vehicle,Married,Excellent,0
APP100017,CUST10017,2023-12-04,22,127089.0,656.0,6,1472163,60,1,0,51576.0,9616,5,Female,Salaried,Postgraduate,Rural,Home,Married,Good,1
APP100018,CUST10018,2025-12-28,44,162302.0,768.0,4,1253049,36,5,0,15711.0,200980,4,Male,Self-Employed,Graduate,Rural,Education,Married,Excellent,0
APP100019,CUST10019,2025-05-31,64,178081.0,583.0,20,844203,24,1,1,14515.0,694123,2,Female,Salaried,Postgraduate,Semi-Urban,Vehicle,Single,Average,1
APP100020,CUST10020,2024-06-22,50,51866.0,752.0,17,1566243,84,0,0,25193.0,300268,3,Female,Salaried,Graduate,Urban,Home,Married,Average,1
APP100021,CUST10021,2025-01-06,58,123400.0,693.0,22,522650,84,4,0,,488513,4,Female,Business,Postgraduate,Semi-Urban,Vehicle,Single,Good,1
