Customer_ID,Age,Gender,City,Membership_Type,Device_Type,Payment_Method,Preferred_Category,Registration_Date,Last_Purchase_Date,Order_Count,Average_Order_Value,Total_Spending,Discount_Percent,Return_Count,Review_Rating,Support_Tickets,Website_Visits,App_Sessions,Email_Opt_In,Coupon_Usage,Delivery_Delay_Days,Churn
CUST10000,56,Female,Chennai,Silver,Tablet,Net Banking,Sports,2021-03-18,2022-07-06,10,1963.47,24259.69,3.8,1,4.4,2,26,32,No,9,0.0,Yes
CUST10001,46,Female,Kochi,Gold,Mobile,COD,Electronics,2023-10-17,2025-01-26,12,2860.0,37587.51,27.0,0,2.8,1,20,24,Yes,7,0.9,No
CUST10002,32,Male,Bengaluru,Basic,Tablet,Net Banking,Beauty,2025-03-25,2025-12-31,10,1688.6,13529.39,9.7,1,4.5,0,18,21,Yes,5,2.5,No
CUST10003,60,Male,Kochi,Basic,Tablet,UPI,Home & Kitchen,2021-01-24,2022-02-02,10,5414.01,47225.31,22.9,2,3.8,0,14,23,Yes,14,3.2,Yes
CUST10004,25,Female,Delhi,Basic,Mobile,Net Banking,Sports,2023-11-05,2025-12-31,11,5802.46,66861.92,16.4,1,3.9,3,17,16,No,12,0.0,No
CUST10005,38,Female,Chennai,Silver,Mobile,COD,Electronics,2022-11-07,2025-06-12,9,2757.9,22035.62,4.7,0,2.5,0,19,25,Yes,13,1.5,No
CUST10006,56,Female,Delhi,Silver,Mobile,Debit Card,Electronics,2022-06-09,2025-05-25,6,3574.07,26350.28,25.0,1,5.0,0,22,32,Yes,5,1.8,No
CUST10007,36,Male,Pune,Gold,Mobile,Debit Card,Grocery,2021-12-13,2025-06-01,13,5010.81,62057.82,17.0,0,4.1,1,23,25,Yes,2,6.6,No
CUST10008,40,Female,Bengaluru,Silver,Mobile,UPI,Grocery,2021-06-21,2023-04-12,3,2587.22,7595.68,25.7,0,3.0,0,26,26,Yes,9,2.4,Yes
CUST10009,28,Female,Bengaluru,Silver,Mobile,Debit Card,Sports,2024-09-12,2025-12-31,7,3479.41,26810.97,13.5,0,4.2,2,19,30,No,8,0.0,No
CUST10010,28,Female,Coimbatore,Basic,Mobile,Net Banking,Electronics,2022-12-13,2024-10-26,7,1595.38,11303.07,20.6,1,4.2,3,25,25,No,8,4.2,Yes
CUST10011,41,Female,Kochi,Silver,Mobile,UPI,Sports,2025-02-17,2025-12-31,7,1105.12,7279.99,0.9,0,4.8,2,19,18,Yes,3,2.0,No
CUST10012,53,Male,Coimbatore,Silver,Tablet,COD,Electronics,2022-05-04,2022-12-10,14,4142.07,45713.81,11.0,0,3.8,2,20,17,Yes,12,4.0,Yes
