Transaction_ID,Customer_ID,Customer_Age,Gender,City,Product_Category,Payment_Method,Device_Type,Quantity,Unit_Price,Discount_Percent,Transaction_Date,Gross_Amount,Discount_Amount,Total_Amount,Transaction_Time
ORD_01070,CUST_0081,26,Male,Pune,Sports,Credit Card,Desktop,4,35537.65,15,2024-01-01,142150.6,21322.59,120828.01,11:21:00
ORD_00881,CUST_0039,50,Female,Bengaluru,Books,Net Banking,Mobile,5,8866.05,15,2024-01-01,44330.25,6649.54,37680.71,15:54:00
ORD_00497,CUST_0146,51,Male,Mumbai,Food,UPI,Mobile,1,34670.78,25,2024-01-02,34670.78,8667.7,26003.08,17:25:00
ORD_00722,CUST_0008,25,Female,Bengaluru,Beauty,Credit Card,Tablet,6,40101.97,25,2024-01-03,240611.82,60152.96,180458.86,11:10:00
ORD_00737,CUST_0007,53,Male,Hyderabad,Food,Net Banking,Tablet,2,39823.82,5,2024-01-03,79647.64,3982.38,75665.26,17:21:00
ORD_00068,CUST_0280,18,Female,Chennai,Sports,Credit Card,Mobile,6,33128.89,15,2024-01-03,198773.34,29816.0,168957.34,09:11:00
ORD_00338,CUST_0060,63,Male,Kochi,Food,Net Banking,Desktop,5,30373.8,5,2024-01-03,151869.0,7593.45,144275.55,21:52:00
ORD_00784,CUST_0198,28,Female,,Books,Credit Card,Desktop,1,44699.33,5,2024-01-03,44699.33,2234.97,42464.36,18:09:00
ORD_00410,CUST_0280,39,Male,Pune,Electronics,Cash,Mobile,1,33621.79,20,2024-01-04,33621.79,6724.36,26897.43,14:35:00
ORD_00154,CUST_0172,41,Male,Chennai,Food,Credit Card,Mobile,4,3493.71,0,2024-01-04,13974.84,0.0,13974.84,12:00:00
ORD_00209,CUST_0298,47,Male,Chennai,Beauty,Cash,Mobile,3,4552.19,10,2024-01-05,13656.57,1365.66,12290.91,12:54:00
ORD_00369,CUST_0048,47,Female,Coimbatore,Sports,UPI,Desktop,5,19744.73,10,2024-01-06,98723.65,9872.36,88851.29,15:47:00
ORD_00765,CUST_0146,65,Male,Bengaluru,Fashion,UPI,Mobile,5,6182.27,15,2024-01-06,30911.35,4636.7,26274.65,11:05:00
