Employee_ID,Age,Monthly_Income,Years_At_Company,Job_Satisfaction,Performance_Rating,Working_Hours,Training_Hours,Projects_Completed,Overtime_Hours,Distance_From_Home_KM,Leave_Days,Department,Job_Level,Education_Level,Employment_Type,Work_Mode,Gender,Joining_Date,Attrition
10001,40.0,28000.0,2.1,5.0,5,41.3,23.6,3,15.1,10.3,10.4,Finance,Senior,Master,Full-Time,Remote,Female,2016-04-25,0
10002,35.0,42500.0,1.2,3.0,4,39.0,45.6,3,2.2,4.7,19.7,Sales,Mid,High School,Full-Time,Office,Female,2017-01-01,0
10003,41.0,50900.0,1.9,3.0,2,48.1,15.4,5,1.5,8.3,13.4,Marketing,Senior,Master,Part-Time,Office,Female,2015-12-09,0
10004,48.0,127700.0,1.0,1.0,1,44.4,29.4,5,18.8,9.2,4.5,Operations,Lead,High School,Full-Time,Hybrid,Male,2022-09-09,0
10005,34.0,75000.0,11.6,5.0,4,53.2,36.7,5,6.5,8.9,14.1,IT,Mid,Master,Full-Time,Office,Male,2018-01-01,0
10006,34.0,35200.0,2.5,5.0,3,45.8,42.9,1,0.0,4.7,18.4,Sales,Senior,Diploma,Contract,Hybrid,Female,2020-01-25,0
10007,49.0,72900.0,1.4,3.0,4,50.4,47.3,2,0.0,9.0,6.9,IT,Junior,Bachelor,Full-Time,Hybrid,Female,2023-07-30,0
10008,42.0,32300.0,3.0,4.0,1,40.4,49.7,2,10.7,8.5,10.9,Finance,Lead,Diploma,Contract,Hybrid,Male,2017-09-29,0
10009,32.0,92500.0,1.9,4.0,5,40.3,30.5,8,5.1,10.0,11.1,HR,Junior,High School,Full-Time,Remote,Female,2015-10-07,0
10010,40.0,49700.0,6.8,1.0,4,55.1,49.4,3,10.9,6.0,12.6,Finance,Senior,Bachelor,Full-Time,Office,Female,2017-11-16,1
10011,32.0,57800.0,17.7,4.0,1,41.0,42.6,2,6.7,8.1,12.6,Finance,Lead,Diploma,Full-Time,Hybrid,Female,2015-10-18,0
10012,32.0,102000.0,2.9,4.0,1,39.3,45.8,3,9.3,36.7,15.2,Finance,Senior,Bachelor,Full-Time,Hybrid,Female,2017-10-09,0
10013,38.0,35900.0,9.9,4.0,2,38.1,25.5,5,18.6,8.3,11.4,Operations,Senior,Master,Full-Time,Hybrid,Male,2017-08-21,0
10014,21.0,34300.0,4.2,2.0,2,53.6,45.0,2,6.9,16.9,18.2,Sales,Mid,Bachelor,Full-Time,Office,Female,2020-08-31,1
10015,22.0,47500.0,0.9,1.0,5,42.6,32.7,7,15.1,21.7,2.4,Sales,Lead,Diploma,Contract,Hybrid,Male,2022-01-14,1
10016,32.0,90900.0,5.9,3.0,2,46.0,35.7,2,8.7,2.9,6.3,HR,Senior,Diploma,Full-Time,Hybrid,Male,2019-07-18,0
10017,28.0,32700.0,3.6,4.0,5,44.8,37.5,3,1.1,7.0,19.4,IT,Mid,Diploma,Full-Time,Remote,Female,2016-09-27,0
10018,39.0,20000.0,5.3,2.0,3,40.4,66.7,3,19.9,7.2,9.6,IT,Junior,,Part-Time,Hybrid,Female,2016-03-30,0
10019,29.0,50100.0,11.0,4.0,3,42.5,21.3,5,20.7,32.8,14.8,IT,Mid,Diploma,Full-Time,Office,Male,2017-05-22,1
10020,25.0,74800.0,2.9,2.0,2,48.2,52.8,3,7.1,29.9,11.3,Finance,Senior,Diploma,Full-Time,Hybrid,Male,2023-12-02,1
10021,48.0,97000.0,11.6,1.0,3,37.9,56.5,5,8.9,2.9,16.7,HR,Senior,High School,Full-Time,Hybrid,Female,2021-12-07,0
10022,34.0,49900.0,6.9,4.0,4,47.4,47.4,4,15.4,4.0,14.1,Finance,Senior,Master,Full-Time,Hybrid,Female,2016-09-01,0
10023,37.0,50900.0,3.4,2.0,4,51.2,27.0,2,6.9,18.9,25.2,HR,Junior,Diploma,Full-Time,Office,Female,2020-10-24,1
10024,25.0,95200.0,4.6,5.0,4,45.5,60.4,5,13.8,5.5,11.9,Marketing,Mid,Bachelor,Contract,Office,Female,2020-12-19,0
10025,32.0,28400.0,2.0,5.0,3,50.7,30.0,3,3.1,12.6,9.9,Sales,Mid,Master,Full-Time,Office,Male,2024-10-04,0
10026,37.0,51400.0,20.6,2.0,4,37.1,45.3,0,19.0,6.9,18.4,Operations,Senior,Master,Part-Time,Office,Male,2021-02-19,0
10027,27.0,64700.0,5.5,4.0,5,34.8,36.8,3,10.2,3.8,15.4,Operations,Mid,Bachelor,Full-Time,Hybrid,Male,2018-10-22,0
10028,39.0,71800.0,0.2,4.0,1,45.2,29.5,6,12.5,19.9,8.0,Operations,Senior,Bachelor,Full-Time,Hybrid,Female,2024-04-15,0
10029,31.0,48900.0,2.0,1.0,2,41.1,43.2,3,16.1,4.8,16.4,Finance,Mid,High School,Full-Time,Office,Male,2023-10-23,0
10030,34.0,60800.0,4.9,1.0,5,48.4,63.2,3,12.9,7.3,13.0,Marketing,Mid,Diploma,Full-Time,Hybrid,Male,2019-12-20,1
