Employee_ID,Age,Experience_Years,Department,Job_Level,Education_Level,Work_Mode,Employment_Type,Monthly_Income,Previous_Salary,Current_Salary,Bonus,Quantity,Unit_Price,Total_Spending,Number_of_Orders,Working_Hours,Training_Hours,Projects_Completed,Performance_Score
EMP00001,59,19,Sales,Mid,PhD,Remote,Part-Time,76010.71,59260.1,75400.43,7759.69,17,6942.57,180460.62,47,30.4,36,16,51.1
EMP00002,49,18,IT,Mid,High School,Hybrid,Part-Time,81753.49,77560.6,84476.3,6007.65,9,9855.74,199817.43,19,46.6,1,7,61.0
EMP00003,35,15,HR,Mid,High School,Hybrid,Full-Time,63901.31,56159.96,72561.7,3003.62,13,4626.76,79001.38,11,38.1,4,9,54.8
EMP00004,28,8,Marketing,Senior,PhD,Hybrid,Part-Time,61544.12,53143.27,65439.27,4456.54,15,9029.76,51692.67,39,41.8,1,2,49.4
EMP00005,41,17,Engineering,Mid,PhD,Hybrid,Full-Time,97848.76,83470.47,110606.9,12174.01,16,2448.3,37592.99,1,43.7,0,3,62.3
EMP00006,59,27,Sales,Senior,Diploma,Remote,Part-Time,153126.14,115569.03,173094.38,25828.48,13,1620.09,103522.23,35,40.2,47,1,66.5
EMP00007,39,19,Finance,Mid,Diploma,Remote,Contract,102413.97,96056.91,116632.05,8749.76,2,7173.94,121610.07,19,49.4,21,6,63.3
EMP00008,43,23,Sales,Mid,High School,Office,Contract,81701.3,71799.01,92247.17,6750.35,2,4028.38,95012.12,33,53.3,40,15,83.5
EMP00009,31,11,Operations,Junior,Bachelor,Remote,Part-Time,59608.34,45798.6,56667.04,6213.58,11,3518.03,78063.15,32,32.2,24,5,60.8
EMP00010,31,10,Finance,Senior,Diploma,Remote,Full-Time,59742.53,45057.24,67915.49,8126.18,16,6877.17,34486.24,36,50.0,45,13,80.3
EMP00011,44,4,Marketing,Senior,Diploma,Remote,Part-Time,50791.42,38609.44,49648.2,7887.45,17,3668.1,88930.07,24,33.2,93,8,70.0
EMP00012,56,7,HR,Manager,Bachelor,Office,Full-Time,56953.33,49656.42,54560.45,4489.28,3,5939.3,17963.38,43,32.0,8,13,56.5
EMP00013,60,33,IT,Junior,Bachelor,Remote,Part-Time,167381.81,146091.36,160866.93,21013.69,1,3344.82,173144.5,7,53.9,60,19,98.1
EMP00014,44,11,Sales,Senior,PhD,Remote,Contract,60641.16,51540.95,61840.84,5462.86,18,7945.7,10333.63,7,42.2,100,9,71.7
EMP00015,23,0,Finance,Junior,Diploma,Remote,Contract,15000.0,12170.3,16112.41,2234.28,14,3467.69,76748.57,46,33.8,46,3,68.9
EMP00016,42,22,Marketing,Junior,Master,Hybrid,Part-Time,124831.15,106898.97,128633.79,6196.8,9,5582.44,20927.44,47,44.2,73,14,74.8
EMP00017,22,2,IT,Junior,Master,Remote,Part-Time,48894.46,41719.71,46699.63,3239.09,9,720.17,155221.12,5,36.6,78,7,64.0
EMP00018,44,4,Engineering,Entry,High School,Office,Part-Time,51201.27,38599.77,53520.51,4950.7,12,8021.44,63234.66,14,41.6,2,13,64.3
EMP00019,50,29,Marketing,Senior,Diploma,Office,Contract,173040.33,139555.96,179689.6,31163.64,3,6393.21,23508.02,45,45.6,7,9,70.2
EMP00020,58,23,HR,Junior,Master,Office,Contract,127828.6,97231.17,140786.57,15748.31,2,2326.25,106766.77,26,51.7,24,11,80.0
EMP00021,22,2,IT,Entry,Diploma,Office,Full-Time,32659.78,30374.6,32853.21,6328.53,1,2546.05,183339.12,50,30.1,35,9,73.6
EMP00022,41,10,IT,Entry,Diploma,Hybrid,Part-Time,58355.64,52230.9,57976.69,2251.94,9,2993.68,181820.33,1,35.4,42,11,50.0
EMP00023,53,3,Engineering,Mid,Master,Office,Part-Time,48951.12,46465.53,49009.27,5033.72,13,5977.04,50680.56,13,32.4,49,14,70.9
EMP00024,32,12,IT,Mid,Diploma,Hybrid,Contract,60448.68,48989.68,61098.38,5768.87,16,5709.01,144212.28,23,32.4,62,15,65.2
EMP00025,42,22,Finance,Senior,Bachelor,Hybrid,Part-Time,137734.01,127499.99,147352.39,17635.07,19,3101.71,7026.55,20,53.6,84,17,61.5
EMP00026,45,25,IT,Mid,High School,Hybrid,Full-Time,123972.98,107932.22,129465.61,20598.56,10,7093.59,27238.51,7,53.4,33,1,69.5
EMP00027,47,5,Marketing,Senior,PhD,Office,Part-Time,56976.67,47896.02,57966.86,9769.26,5,8945.89,100395.0,6,48.7,90,3,65.4
EMP00028,48,14,Finance,Entry,Master,Office,Contract,72172.55,57342.14,73966.96,10149.99,14,913.4,46522.53,9,46.1,72,3,69.6
EMP00029,36,16,IT,Entry,PhD,Hybrid,Part-Time,66615.69,59799.47,68226.78,9024.86,15,4463.37,159854.11,28,51.2,9,3,63.4
EMP00030,35,15,Marketing,Senior,High School,Hybrid,Contract,65154.22,60647.38,74567.79,12433.07,3,6138.44,186283.36,10,31.5,26,4,68.5
EMP00031,23,3,Marketing,Mid,Bachelor,Office,Full-Time,41756.99,33282.9,41614.99,3719.03,9,6071.13,1862.33,35,33.0,88,17,66.2
EMP00032,57,5,Sales,Mid,Bachelor,Remote,Full-Time,36749.49,28851.22,40924.68,6243.77,1,685.59,47350.25,7,37.9,12,20,69.3
EMP00033,27,3,Marketing,Senior,Bachelor,Remote,Part-Time,33615.38,29892.29,36695.97,6248.11,1,2500.38,88471.12,25,50.8,50,4,63.2
EMP00034,41,17,Engineering,Manager,Bachelor,Remote,Part-Time,68650.95,64902.24,65294.88,7447.05,19,1087.39,113052.78,30,41.8,67,13,82.4
EMP00035,29,8,Operations,Mid,Master,Office,Contract,77055.9,69349.62,88509.12,11653.82,6,5905.17,183264.65,43,42.6,15,7,60.4
EMP00036,59,28,HR,Junior,Master,Office,Full-Time,129694.81,104652.84,142831.32,11395.45,11,6631.2,178484.81,26,35.7,11,4,66.2
EMP00037,38,12,IT,Mid,Diploma,Hybrid,Full-Time,74473.88,62110.55,80915.12,3619.3,18,2017.55,127796.85,44,46.2,24,8,63.1
EMP00038,24,4,Engineering,Manager,Diploma,Office,Full-Time,36681.4,30330.51,37820.91,4606.11,14,3663.61,52220.21,12,52.2,48,11,55.2
EMP00039,45,25,IT,Entry,High School,Office,Full-Time,96436.91,88762.37,102323.48,5339.22,16,3633.14,156874.27,13,38.2,15,19,82.4
EMP00040,34,14,IT,Entry,Diploma,Office,Part-Time,68685.72,62110.72,68730.65,7031.21,1,8288.12,41327.7,40,45.5,1,7,51.8
EMP00041,29,3,Marketing,Entry,High School,Hybrid,Part-Time,51696.41,44861.89,49478.46,9156.38,10,2349.26,193069.29,4,38.3,72,9,66.3
EMP00042,46,4,Marketing,Mid,High School,Hybrid,Contract,53686.39,43217.11,59978.67,1904.97,10,5708.98,2162.14,1,49.8,76,4,61.5
EMP00043,22,2,IT,Entry,High School,Remote,Full-Time,46276.3,43388.55,52259.68,1178.99,13,7937.89,114384.33,6,41.9,77,4,49.1
EMP00044,40,20,Operations,Manager,Bachelor,Remote,Part-Time,109172.62,96144.29,107261.46,14101.39,1,8380.99,18591.05,2,38.5,75,1,56.2
EMP00045,48,21,Finance,Manager,PhD,Office,Part-Time,84378.65,79661.49,93441.86,6715.78,3,6832.38,82112.31,46,40.5,34,6,61.4
EMP00046,27,7,Finance,Mid,PhD,Office,Full-Time,39226.2,33970.8,43079.41,3735.46,14,3345.51,127351.77,27,32.3,21,3,54.9
EMP00047,28,2,HR,Junior,Master,Hybrid,Part-Time,34166.2,31236.06,33676.77,3178.41,16,8318.94,138230.1,18,51.7,84,3,70.2
EMP00048,55,33,Sales,Mid,High School,Remote,Contract,102098.38,93177.13,105607.06,3633.85,20,7550.58,157328.32,42,54.0,47,1,70.2
EMP00049,34,14,Engineering,Entry,Bachelor,Remote,Contract,66140.74,54067.79,68426.01,1365.27,6,7192.46,119072.21,29,41.9,63,7,70.8
EMP00050,37,17,HR,Mid,Diploma,Remote,Full-Time,107807.24,101641.11,118802.8,19590.32,1,1139.69,51012.55,33,35.5,66,9,78.9
EMP00051,56,20,IT,Manager,Diploma,Office,Contract,104456.86,78801.03,116733.9,6184.24,20,911.02,177961.4,3,46.6,21,3,71.3
EMP00052,60,10,Engineering,Mid,Master,Office,Part-Time,42465.65,38378.0,41147.31,4106.18,5,7105.97,162410.38,20,41.3,72,15,71.2
EMP00053,24,3,IT,Mid,Master,Office,Contract,22429.03,21153.08,23832.95,4372.46,8,9475.55,32850.41,4,36.3,46,3,52.3
EMP00054,22,0,IT,Junior,High School,Hybrid,Part-Time,16870.35,13796.26,18597.02,2848.01,12,7850.38,165475.73,18,31.0,39,11,64.3
EMP00055,26,6,Sales,Manager,High School,Remote,Full-Time,29881.34,26284.29,33085.76,1178.15,1,8399.02,194556.26,8,52.2,52,18,65.0
EMP00056,24,4,Marketing,Senior,Diploma,Hybrid,Full-Time,47487.4,40955.25,46518.59,5296.43,13,5677.33,127806.6,22,49.9,2,3,67.0
EMP00057,49,29,Sales,Senior,Diploma,Remote,Part-Time,111367.46,100487.03,117503.93,16862.62,9,3393.57,57079.24,41,50.7,94,20,92.1
EMP00058,38,12,HR,Manager,Diploma,Office,Part-Time,99142.9,91532.26,111189.93,14446.18,20,6938.5,121712.17,22,41.0,100,7,70.4
EMP00059,46,26,Marketing,Senior,Diploma,Hybrid,Contract,116467.0,101397.21,118063.03,18279.67,8,7263.72,69164.48,19,48.8,5,9,73.3
EMP00060,54,10,Marketing,Entry,PhD,Hybrid,Part-Time,79671.65,72754.63,82462.02,8153.74,13,6915.9,135513.35,28,44.5,13,17,69.2
EMP00061,30,10,HR,Senior,High School,Office,Full-Time,54277.77,44098.36,60295.64,2804.32,2,9493.74,109415.19,2,39.4,82,9,65.3
EMP00062,56,16,Marketing,Entry,High School,Remote,Part-Time,45018.59,35822.07,43571.87,4667.39,15,3988.2,185968.63,9,51.1,57,10,73.1
EMP00063,34,14,Engineering,Manager,Diploma,Remote,Contract,86357.31,72206.24,96884.15,11798.11,14,876.75,123963.8,35,55.0,81,13,70.9
EMP00064,51,17,Finance,Senior,Bachelor,Remote,Contract,86079.5,76227.47,87132.37,11151.3,19,9130.22,43582.36,22,52.5,6,5,76.0
EMP00065,35,15,HR,Senior,Diploma,Remote,Part-Time,72201.83,56855.29,68612.68,2360.56,9,2024.74,145296.86,26,49.4,99,14,70.4
EMP00066,28,8,HR,Entry,Master,Office,Contract,58659.12,51976.11,58473.28,1858.99,19,7124.52,60874.79,34,48.7,28,4,62.6
EMP00067,34,14,Finance,Entry,Bachelor,Office,Contract,51931.7,43041.97,50264.7,10061.58,14,8795.44,55205.8,7,46.3,2,14,61.5
EMP00068,43,20,Sales,Mid,Master,Office,Full-Time,100408.14,91282.55,97242.97,4751.81,8,3446.34,78963.55,30,51.3,12,11,63.1
EMP00069,60,7,Sales,Junior,Bachelor,Office,Part-Time,54992.47,41649.49,59862.99,4014.63,5,8388.94,3387.34,49,42.3,35,10,50.8
EMP00070,41,21,Sales,Senior,Master,Hybrid,Full-Time,99632.25,88034.71,98914.43,15759.25,7,3654.55,193858.99,25,34.5,88,5,73.9
EMP00071,36,4,Marketing,Junior,Diploma,Hybrid,Full-Time,40198.45,35373.21,45703.57,3768.28,4,8045.45,106933.89,49,49.2,91,12,64.0
EMP00072,38,16,Finance,Junior,Diploma,Hybrid,Contract,101318.07,95055.31,106717.2,5335.78,8,1163.38,154925.28,9,53.0,37,15,79.0
EMP00073,44,24,Engineering,Senior,Bachelor,Office,Full-Time,103966.88,92808.48,108335.53,10823.14,4,6724.81,52312.59,27,38.5,74,13,79.9
EMP00074,46,18,HR,Entry,Master,Remote,Part-Time,67430.52,61311.9,69915.79,8254.24,1,6932.81,149577.01,1,49.6,59,8,70.4
EMP00075,45,25,HR,Mid,PhD,Hybrid,Part-Time,115326.9,107359.91,125535.35,11705.45,8,5168.55,113866.93,33,36.8,72,4,61.2
EMP00076,49,29,HR,Manager,Bachelor,Hybrid,Part-Time,162056.7,143421.86,168612.31,30046.98,7,7027.36,85404.69,8,53.6,21,13,79.4
EMP00077,35,10,Marketing,Senior,Bachelor,Office,Full-Time,47827.96,38646.46,46666.7,3407.54,11,9270.24,194163.18,49,47.1,20,15,62.5
EMP00078,21,1,Marketing,Senior,High School,Remote,Part-Time,16790.78,15513.92,18906.99,2334.59,16,7471.62,99274.9,32,44.2,82,9,53.3
EMP00079,45,20,Operations,Manager,Bachelor,Remote,Part-Time,97019.98,87270.98,100481.56,3901.47,17,9632.31,131834.26,40,49.5,32,6,69.8
EMP00080,27,7,Engineering,Junior,PhD,Remote,Full-Time,50543.72,42198.32,48764.63,4579.84,5,4761.82,4053.1,19,50.3,3,18,57.5
EMP00081,29,9,Sales,Mid,Diploma,Office,Full-Time,62658.23,55897.78,66159.15,9610.44,7,5518.76,60989.59,36,52.3,96,9,53.8
EMP00082,44,4,Operations,Junior,Master,Remote,Full-Time,37852.79,34958.48,40860.92,2288.85,10,3005.52,177849.62,50,52.5,79,6,71.6
EMP00083,21,1,Operations,Manager,High School,Hybrid,Full-Time,43243.27,40870.53,43464.52,5455.52,13,9863.22,152032.85,45,31.3,43,7,54.9
EMP00084,28,8,Marketing,Manager,Master,Hybrid,Contract,36518.38,34344.45,40537.89,1738.96,20,1023.8,107814.05,22,33.1,0,12,50.2
