Employee_ID,Age,Experience_Years,Monthly_Salary,Performance_Score,Training_Hours,Projects_Completed,Joining_Date,Department,Job_Level,Education_Level,Employment_Type,Work_Mode,Gender,Annual_Bonus,Performance_Review_Count,Leave_Days,Promoted
10001,39.0,11.3,35200.0,3.9,52.6,1,2020-04-03,Finance,Mid,High School,Full-Time,Hybrid,Female,2200,7,9,0
10002,34.0,9.4,42700.0,4.2,6.8,4,2015-04-16,Marketing,Senior,Diploma,Part-Time,Office,Female,1400,8,19,0
10003,40.0,16.8,,3.7,30.1,4,2018-12-10,Finance,Senior,Bachelor,Contract,Remote,Male,5300,8,13,1
10004,47.0,30.7,44200.0,2.0,34.4,1,2021-07-27,HR,Junior,High School,Full-Time,Office,Male,6100,16,18,1
10005,33.0,12.7,50500.0,3.3,35.2,5,2018-11-07,IT,Junior,Master,Contract,Office,Male,5300,8,19,1
10006,33.0,7.0,76900.0,2.6,37.7,4,2024-05-13,Sales,Mid,High School,Full-Time,Hybrid,Female,4900,6,11,0
10007,48.0,27.5,48400.0,3.3,44.2,1,2019-02-13,Sales,Junior,Master,Full-Time,Remote,Female,1700,17,11,1
10008,,14.4,29200.0,4.1,34.5,3,2022-11-21,Sales,Senior,Bachelor,Full-Time,Office,Male,4200,7,11,1
10009,31.0,12.2,86800.0,3.6,29.5,7,2021-06-19,Operations,Junior,Bachelor,Full-Time,Remote,Male,12100,7,8,1
10010,39.0,15.6,39400.0,4.2,28.9,1,2024-11-03,Operations,Junior,Diploma,Full-Time,Office,Male,4600,11,11,1
10011,31.0,8.7,53700.0,3.6,25.8,9,2017-09-27,IT,Junior,Master,Contract,Hybrid,Female,7600,7,12,1
10012,31.0,13.0,65800.0,2.5,46.8,5,2024-05-24,IT,Junior,Master,Full-Time,Office,Male,2500,10,15,0
10013,37.0,11.1,59600.0,1.6,25.3,4,2024-04-15,Sales,Mid,Bachelor,Full-Time,Office,Female,2000,6,11,0
10014,21.0,0.0,85200.0,3.5,47.7,1,2016-01-19,IT,Junior,Master,Full-Time,Hybrid,Female,3800,1,16,1
10015,21.0,0.0,66600.0,3.3,35.3,6,2017-09-28,Sales,Junior,Master,Full-Time,Office,Female,3200,2,15,1
10016,31.0,12.1,39000.0,2.7,27.2,6,2015-01-17,HR,Senior,High School,Contract,Office,Female,5000,10,16,0
10017,27.0,0.4,131500.0,2.2,44.3,2,2018-10-25,HR,Junior,Diploma,Full-Time,Hybrid,Female,18400,4,13,0
10018,38.0,7.5,59400.0,2.9,24.1,3,2020-02-15,HR,Junior,High School,Full-Time,Remote,Female,2900,6,14,0
