Application_ID,Customer_ID,Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Loan_Tenure_Months,Existing_Loans,Previous_Loans,Previous_Defaults,Previous_Loan_Amount,Application_Date,Decision_Date,Loan_Type,Employment_Type,Location,Loan_Approved,Approved_Amount,Final_Interest_Rate
100001,51013,43,254000.0,618.0,24.0,1336000.0,84,1,3,1,830000,2024-11-06,2024-11-10,Auto,Business Owner,Coimbatore,0,0,
100002,50090,37,407000.0,649.0,19.0,249000.0,48,3,5,0,1572000,2025-11-11,2025-11-21,Auto,Salaried,Hyderabad,0,0,
100003,50594,44,498000.0,629.0,24.0,585000.0,24,0,0,0,0,2024-01-04,2024-01-11,Home,Self-Employed,Bengaluru,1,477000,12.92
100004,51045,53,1403000.0,654.0,23.0,684000.0,12,0,3,1,976000,2025-09-20,2025-09-27,Personal,Business Owner,Kochi,1,557000,11.68
100005,51087,36,771000.0,676.0,13.0,706000.0,36,2,3,0,757000,2023-03-23,2023-04-02,Personal,Salaried,Kochi,0,0,
100006,50303,36,329000.0,744.0,9.0,773000.0,24,0,2,0,395000,2024-01-12,2024-01-21,Auto,Self-Employed,Coimbatore,0,0,
100007,50325,54,747000.0,669.0,31.0,979000.0,24,0,2,0,442000,2023-01-03,2023-01-06,Home,Salaried,Kochi,1,933000,14.52
100008,50783,46,299000.0,587.0,28.0,687000.0,24,0,1,0,238000,2024-11-14,2024-11-24,Auto,Business Owner,Delhi,0,0,
100009,50260,33,977000.0,764.0,12.0,572000.0,72,2,3,0,364000,2025-02-02,2025-02-10,Home,Self-Employed,Pune,0,0,
100010,50895,43,485000.0,636.0,26.0,559000.0,24,1,1,1,182000,2023-09-23,2023-09-30,Auto,Business Owner,Coimbatore,0,0,
100011,51196,33,575000.0,686.0,12.0,500000.0,72,0,0,0,0,2024-03-10,2024-03-19,Business,Business Owner,Kochi,1,477000,13.58
100012,50626,33,1090000.0,719.0,6.0,1079000.0,60,2,4,0,509000,2024-11-12,2024-11-14,Personal,Business Owner,Mumbai,0,0,
100013,50445,40,336000.0,703.0,8.0,491000.0,36,0,1,0,183000,2024-12-25,2024-12-31,Education,Business Owner,Kochi,0,0,
