Production_ID,Machine_ID,Production_Date,Machine_Age_Years,Operating_Hours,Idle_Hours,Maintenance_Count,Temperature,Pressure,Vibration,Production_Units,Defective_Units,Material_Cost,Labor_Hours,Energy_Consumption,Production_Shift,Product_Type,Operator_Experience,Downtime_Hours,Production_Quality
100001,M026,2024-11-23,7.5,8.4,2.2,4,96.4,51.1,3.81,382.0,26,37525.0,27.5,372.2,Morning,Component_D,5.6,2.2,Good
100002,M027,2024-05-15,5.6,12.6,3.4,5,59.1,54.2,4.87,505.0,21,47893.0,33.8,467.5,Morning,Component_C,1.6,1.8,Good
100003,M006,2024-03-09,7.9,14.3,2.6,3,71.9,64.8,3.14,571.0,24,56288.0,30.8,678.7,Night,Component_C,7.2,1.0,Good
100004,M022,2024-04-18,10.6,23.6,3.6,1,61.5,51.8,6.41,1346.0,71,105105.0,75.5,1172.3,Afternoon,Component_A,4.3,1.5,Good
100005,M020,2025-07-08,5.3,18.2,4.5,1,76.8,65.0,4.58,1001.0,36,77922.0,36.4,513.5,Afternoon,Component_C,7.3,0.2,Good
100006,M021,2025-02-24,5.3,10.7,7.1,4,47.2,51.3,7.03,469.0,20,33382.0,24.8,512.7,Afternoon,Component_B,14.1,4.9,Average
100007,M013,2025-08-20,10.7,17.9,4.2,5,59.6,56.2,7.04,709.0,39,69553.0,36.7,1022.0,Morning,Component_C,7.1,4.0,Good
100008,M027,2025-03-16,8.3,9.8,1.0,2,87.3,74.3,2.19,357.0,18,38835.0,31.8,430.2,Night,Component_B,7.8,2.5,Good
100009,M012,2024-10-07,4.6,20.3,7.9,4,72.1,56.1,7.32,792.0,37,84335.0,60.0,940.4,Night,Component_D,5.2,7.3,Good
100010,M008,2025-05-30,7.6,14.1,2.9,6,63.1,54.3,6.18,595.0,19,66732.0,34.1,478.0,Afternoon,Component_A,2.6,2.2,Good
100011,M030,2025-07-02,4.6,,4.9,3,71.5,56.3,4.22,872.0,24,101861.0,52.5,539.1,Morning,Component_B,9.1,4.7,Good
100012,M003,2024-05-15,4.6,21.3,6.1,3,71.2,52.0,6.01,890.0,27,86481.0,71.5,782.9,Morning,Component_B,4.2,4.5,Good
100013,M013,2025-04-22,6.7,10.9,5.5,3,78.7,46.0,3.59,590.0,27,55478.0,31.9,392.5,Night,Component_A,5.3,2.9,Good
100014,M022,2024-01-09,1.0,10.4,7.7,2,47.1,73.5,6.95,459.0,10,53767.0,34.2,288.1,Night,Component_B,11.4,3.8,Good
100015,M030,2025-08-13,1.0,13.7,6.2,4,59.6,51.3,4.68,562.0,16,47480.0,40.3,503.7,Morning,Component_B,5.0,1.9,Good
100016,M001,2024-08-30,4.3,20.2,2.8,2,60.5,41.3,6.1,957.0,26,73997.0,55.7,911.4,Morning,Component_C,9.6,2.3,Good
100017,M010,2024-12-29,3.0,9.9,10.4,1,79.6,53.6,3.36,489.0,9,43969.0,23.2,279.4,Morning,Component_D,7.2,4.6,Good
100018,M027,2025-03-27,6.9,4.7,5.5,2,71.9,58.2,5.01,245.0,6,21600.0,9.6,199.1,Night,Component_D,4.3,4.0,Good
100019,M022,2025-05-19,3.3,14.2,4.6,2,89.3,53.1,6.09,543.0,20,51979.0,23.0,563.1,Night,Component_B,7.0,2.1,Good
100020,M025,2025-11-14,1.8,18.2,7.4,4,81.9,54.6,5.05,892.0,23,73367.0,56.5,651.3,Night,Component_A,3.9,1.7,Good
100021,M029,2024-03-05,10.4,20.8,5.6,4,67.8,53.5,5.51,1055.0,32,106076.0,36.3,893.8,Afternoon,Component_C,8.7,3.6,Good
100022,M015,2024-01-14,5.3,14.1,6.0,3,71.4,58.8,3.13,693.0,27,59919.0,32.7,591.8,Morning,Component_C,9.7,4.9,Good
100023,M011,2024-05-05,6.2,14.4,11.2,4,87.5,62.4,5.05,689.0,28,78148.0,28.4,516.7,Afternoon,Component_B,6.1,4.2,Good
100024,M016,2025-06-21,1.7,20.6,4.3,4,89.2,53.3,3.14,826.0,13,63669.0,49.6,961.0,Morning,Component_C,10.0,1.7,Good
100025,M024,2025-02-19,4.4,8.5,4.2,1,70.9,78.3,4.47,423.0,10,39300.0,18.1,369.9,Morning,Component_A,6.5,2.5,Good
100026,M021,2024-09-09,6.3,14.4,5.3,5,60.2,64.4,3.61,706.0,18,63523.0,45.5,741.1,Afternoon,Component_A,8.7,3.3,Good
100027,M023,2025-01-20,2.5,16.8,7.7,4,46.8,55.0,4.13,646.0,13,63607.0,58.1,634.5,Night,Component_B,14.9,6.6,Good
100028,M021,2024-08-07,7.1,17.8,1.2,1,46.8,43.1,1.35,648.0,29,70568.0,60.2,644.8,Afternoon,Component_B,13.4,2.7,Good
100029,M003,2025-03-08,4.2,14.0,0.5,5,77.7,56.0,4.55,739.0,23,73156.0,38.4,517.1,Morning,Component_A,5.5,0.5,Good
100030,M009,2024-07-21,5.1,16.1,3.5,4,77.4,62.3,4.31,652.0,16,60682.0,55.7,773.8,Night,Component_A,6.9,1.7,Average
