Order_ID,Customer_ID,Order_Date,Product_Category,Region,Payment_Method,Customer_Segment,Customer_Age,Quantity,Unit_Price,Discount_Percent,Shipping_Cost,Product_Rating,Delivery_Days,Return_Flag,Cost_Price,Gross_Sales,Discount_Amount,Net_Sales,Profit
ORD50001,CUST10001,2024-04-12,Home & Kitchen,East,Net Banking,Regular,60,10,174.12,19.48,142.63,3.1,3,No,88.79,1741.2,339.19,1402.01,371.48
ORD50002,CUST10002,2025-03-11,Fashion,West,COD,New,50,7,317.56,3.34,130.99,2.6,6,No,230.32,2222.92,74.25,2148.67,405.44
ORD50003,CUST10003,2024-09-27,Beauty,West,Debit Card,Regular,47,3,294.19,14.37,118.53,5.0,4,No,167.3,882.57,126.83,755.74,135.31
ORD50004,CUST10004,2024-04-16,Grocery,South,Net Banking,Premium,29,7,196.02,13.11,102.94,3.5,8,No,147.47,1372.14,179.89,1192.25,57.02
ORD50005,CUST10005,2024-03-12,Beauty,South,COD,New,32,9,80.0,10.77,81.43,3.9,1,No,56.64,720.0,77.54,642.46,51.27
ORD50006,CUST10006,2025-12-01,Grocery,East,COD,New,35,10,242.05,1.31,84.44,3.8,6,No,191.87,2420.5,31.71,2388.79,385.65
ORD50007,CUST10007,2024-01-21,Sports,East,Debit Card,New,45,4,152.32,10.16,116.3,4.6,2,No,108.67,609.28,61.9,547.38,-3.6
ORD50008,CUST10008,2025-09-06,Beauty,South,Debit Card,New,40,7,447.95,,46.74,4.4,6,No,269.58,3135.65,342.1,2793.55,859.75
ORD50009,CUST10009,2024-05-01,Fashion,South,Credit Card,Premium,31,9,383.67,0.11,87.58,,1,No,174.2,3453.03,3.8,3449.23,1793.85
ORD50010,CUST10010,2025-04-11,Fashion,North,Net Banking,Regular,47,8,98.52,2.86,56.57,3.5,2,No,73.24,788.16,22.54,765.62,123.13
ORD50011,CUST10011,2024-08-02,Beauty,North,Net Banking,Premium,50,8,264.65,5.51,142.78,4.4,9,No,159.09,2117.2,116.66,2000.54,585.04
ORD50012,CUST10012,2024-11-26,Fashion,South,Debit Card,Regular,62,9,268.07,4.66,122.27,4.6,6,No,187.15,2412.63,112.43,2300.2,493.58
ORD50013,CUST10013,2025-04-03,Sports,North,COD,Premium,32,5,255.69,14.28,186.19,4.4,8,No,125.0,1278.45,182.56,1095.89,284.7
ORD50014,CUST10014,2024-03-28,Electronics,Central,Debit Card,Wholesale,24,5,235.03,18.38,55.9,3.2,7,No,183.24,1175.15,215.99,959.16,-12.94
ORD50015,CUST10015,2025-01-07,Sports,East,COD,Wholesale,32,3,273.04,9.83,60.73,,9,No,166.88,819.12,80.52,738.6,177.23
ORD50016,CUST10016,2024-04-09,Grocery,East,COD,Wholesale,59,5,481.05,17.36,92.59,5.0,9,No,380.17,2405.25,417.55,1987.7,-5.74
ORD50017,CUST10017,2025-10-25,Sports,South,Debit Card,Wholesale,63,8,126.67,18.67,57.35,5.0,4,No,90.14,1013.36,189.19,824.17,45.7
ORD50018,CUST10018,2024-05-10,Grocery,West,UPI,New,55,5,100.61,11.4,114.19,4.0,7,No,49.8,503.05,57.35,445.7,82.51
ORD50019,CUST10019,2025-10-23,Fashion,South,Net Banking,New,63,4,301.5,14.86,87.71,4.0,5,No,200.29,1206.0,179.21,1026.79,137.92
ORD50020,CUST10020,2024-11-04,Electronics,North,COD,Premium,61,8,80.0,10.44,68.02,4.1,7,No,62.93,640.0,66.82,573.18,1.72
ORD50021,CUST10021,2024-12-09,Fashion,West,COD,Premium,28,7,277.3,4.14,138.94,4.4,4,No,206.86,1941.1,80.36,1860.74,273.78
ORD50022,CUST10022,2025-05-06,Home & Kitchen,North,UPI,Wholesale,46,6,247.15,6.77,20.0,3.1,10,No,149.44,1482.9,100.39,1382.51,465.87
ORD50023,CUST10023,2025-02-17,Fashion,Central,Credit Card,Regular,48,5,80.0,14.28,114.4,4.1,1,No,64.27,400.0,57.12,342.88,-92.87
ORD50024,CUST10024,2025-01-20,Grocery,North,UPI,Wholesale,42,5,119.87,11.15,65.2,3.3,4,No,65.85,599.35,66.83,532.52,138.07
ORD50025,CUST10025,2024-07-10,Fashion,Central,UPI,Premium,41,10,504.91,17.16,126.75,4.0,10,No,297.29,5049.1,866.43,4182.67,1083.02
ORD50026,CUST10026,2024-10-03,Fashion,Central,COD,Wholesale,36,2,80.0,0.0,137.53,3.4,3,No,58.19,160.0,0.0,160.0,-93.91
ORD50027,CUST10027,2024-06-09,Electronics,North,Net Banking,Premium,19,4,208.13,0.47,20.0,3.6,9,No,111.59,832.52,3.91,828.61,362.25
ORD50028,CUST10028,2025-04-04,Fashion,North,UPI,Wholesale,39,8,94.33,1.3,80.48,4.1,5,No,60.44,754.64,9.81,744.83,180.83
ORD50029,CUST10029,2024-11-09,Electronics,Central,Credit Card,Regular,37,8,114.34,13.17,92.62,3.6,4,No,82.29,914.72,120.47,794.25,43.31
ORD50030,CUST10030,2024-01-22,Beauty,West,Debit Card,Wholesale,50,1,629.93,2.35,20.0,3.3,8,No,433.56,629.93,14.8,615.13,161.57
ORD50031,CUST10031,2024-09-09,Home & Kitchen,Central,UPI,Regular,25,2,196.42,14.24,100.25,4.9,5,No,99.68,392.84,55.94,336.9,37.29
ORD50032,CUST10032,2025-07-14,Electronics,East,UPI,Regular,42,5,253.67,,,3.3,3,No,173.25,1268.35,219.04,1049.31,116.82
ORD50033,CUST10033,2025-04-19,Grocery,Central,Credit Card,Premium,63,9,168.49,22.61,35.74,2.5,2,No,111.52,1516.41,342.86,1173.55,134.13
ORD50034,CUST10034,2024-02-28,Beauty,West,Net Banking,Regular,26,10,80.0,21.84,60.73,4.4,8,No,52.51,800.0,174.72,625.28,39.45
ORD50035,CUST10035,2025-05-25,Electronics,East,UPI,New,51,7,83.91,7.13,52.95,3.8,2,No,63.41,587.37,41.88,545.49,48.67
ORD50036,CUST10036,2025-11-12,Electronics,South,UPI,New,40,10,389.93,0.31,64.31,4.0,8,No,202.0,3899.3,12.09,3887.21,1802.9
ORD50037,CUST10037,2025-04-20,Home & Kitchen,South,Net Banking,New,22,5,200.21,7.58,98.33,4.1,5,No,145.77,1001.05,75.88,925.17,97.99
ORD50038,CUST10038,2025-11-30,Grocery,West,Credit Card,Premium,42,1,109.87,18.84,134.16,4.8,8,No,80.37,109.87,20.7,89.17,-125.36
ORD50039,CUST10039,2024-07-08,Sports,Central,UPI,New,25,6,178.69,9.27,86.5,5.0,5,No,128.19,1072.14,99.39,972.75,117.11
ORD50040,CUST10040,2025-11-17,Sports,North,Net Banking,Premium,33,8,278.67,11.83,139.62,4.2,1,No,177.57,2229.36,263.73,1965.63,405.45
ORD50041,CUST10041,2025-07-16,Electronics,West,UPI,Premium,65,7,243.57,8.1,42.93,3.2,2,No,145.25,1704.99,138.1,1566.89,507.21
ORD50042,CUST10042,2025-07-20,Fashion,East,Debit Card,New,62,2,109.91,23.07,96.88,4.1,6,No,65.51,219.82,50.71,169.11,-58.79
ORD50043,CUST10043,2024-08-31,Grocery,East,COD,Regular,32,5,80.0,4.9,184.8,4.4,3,No,57.72,400.0,19.6,380.4,-93.0
